CALL_ID,C_DAY,C_MONTH,C_YEAR,C_HOUR,C_MINUTE,SERVICE_NUMBER#,QUEUE,ADMIN_STATUS,OPERATION_STATUS,ACCOUNT_ID#,Language_chosen,CALLTYPE
430116979,29,June,2021,21,49,482641648,Other,disabled,down,111172230003484192,Arabic,Technical
318533047,4,08,2024,12,22,502273639,Other,,,137040000106184712,Arabic,
545008197,21,June,2022,21,29,453094706,Other,enabled,up,104260000019781809,Arabic,Technical
413963957,25,May,2021,23,15,452843184,XDSL,,,111402230007063988,Arabic,Technical
488027993,5,January,2022,23,7,35377231,XDSL,enabled,down,120550000055946268,Arabic,Technical
428218531,24,June,2021,10,6,34713603,Other,enabled,up,111772230000086894,Arabic,Technical
425893218,19,June,2021,23,17,224231801,Other,,,115712230006253065,Arabic,Technical
412333091,20,May,2021,15,27,502683257,XDSL,,,115262230005695554,Arabic,Sales
470850031,12,November,2021,6,14,227527282,Sales,enabled,down,112322230002409868,Arabic,Technical
445664218,20,August,2021,13,43,242179899,XDSL,enabled,down,115652230003605272,Arabic,Technical
501773013,17,February,2022,15,33,227069152,Other,enabled,up,107480000030302865,Arabic,Technical
546153367,24,June,2022,14,56,502409117,XDSL,enabled,down,111660000037383982,Arabic,Sales
498202671,6,February,2022,20,30,235635504,Other,enabled,up,110540000027389678,Arabic,Technical
465048729,24,October,2021,13,30,35806733,Other,enabled,up,111272230000477479,Arabic,Technical
523108563,19,April,2022,19,6,401980966,Other,,,111010000023023067,Arabic,Technical
126268814,10,03,2023,22,6,35237752,Other,,,100430000018722365,Other,
439473920,30,July,2021,10,29,553453090,XDSL,enabled,down,113782230004549133,Arabic,Sales
421762933,14,June,2021,21,29,34927824,Other,,,113930000046084554,Arabic,Technical
501290642,16,February,2022,0,59,502409117,Other,enabled,up,111660000037383982,Arabic,Technical
480128851,13,December,2021,21,6,244640008,XDSL,enabled,up,103670000098624400,Arabic,Technical
365760054,5,05,2024,22,57,483547968,Other,,,102620000036108371,Other,
408703001,8,May,2021,13,18,482870839,Other,,,100140000030327945,Arabic,Technical
495522374,30,January,2022,9,40,247947799,XDSL,enabled,up,103700000037791776,Arabic,Technical
442044854,7,August,2021,18,35,245948432,XDSL,enabled,up,102660000032743327,Arabic,Technical
447774559,28,August,2021,11,10,244657284,Other,enabled,down,110920000027861644,Arabic,Technical
467474269,1,November,2021,4,30,245965519,XDSL,enabled,up,105482230002591071,Arabic,Sales
534631231,24,May,2022,20,55,225424086,XDSL,enabled,up,110720000060128362,Arabic,Technical
417261577,5,June,2021,19,20,952408213,Other,,,115182230005522049,Arabic,Technical
416238473,21,February,2021,11,17,472479261,Other,,,131230000117259048,Arabic,Technical
453537075,18,September,2021,17,22,233353142,Other,enabled,down,114362230005215634,Arabic,Technical
497082583,3,February,2022,18,3,503467083,Other,enabled,down,113192230005642410,Arabic,Technical
413843094,25,May,2021,17,24,221789179,XDSL,,,115630000110643454,Arabic,Technical
64232899,10,11,2022,15,29,483316385,Other,,,111480000069883186,Other,
540694222,10,June,2022,14,37,504434917,Other,enabled,up,115792230007099830,Arabic,Technical
413568025,24,May,2021,18,53,226220085,Other,,,114522230004898385,Arabic,Technical
485277060,28,December,2021,20,22,238560969,Other,,,113792230005759152,Arabic,Technical
