Consumption_ID,CUSTOMER_ID#,ACCOUNT_ID#,SUBSCRIBER_ID#,CONSUMPTION_DATE,PRICE_PLAN_ID#,RATING_GROUP_ID#,Consumption_Type,DAILY_CONSUMPTION_MB
3854564,1103906609,112512230003949919,2203949919,2024-06-24,819049,1123,In-Bundle,2653.989298820496
1687819,1011011023761660,113980000054489558,73113829,2024-06-27,819049,1123,In-Bundle,9364.914790153503
193600,11011068194,100100000019117819,52706793,2024-12-16,819049,1123,In-Bundle,247.7980613708496
3381777,1011011002015808,102652230000965258,2200965258,2024-05-10,460467828,1123,In-Bundle,5720.708784103394
995574,1017911012785667,101740000033997440,63725644,2025-05-16,819049,1123,In-Bundle,6125.514204978943
4830991,1011011007851779,110682230007927942,2207927942,2025-03-29,819049,1123,In-Bundle,10487.930290222168
4138746,1105150109,111732230005193108,2205193108,2024-06-21,819051,1123,In-Bundle,9390.73913669586
477782,11013742432,105800000025289256,56721231,2024-05-20,460465744,1123,In-Bundle,17767.799105644226
1434490,1011011011258424,101700000046922256,70075050,2024-01-17,819051,1123,In-Bundle,4257.409064292908
1653948,1011011025454615,111360000052155058,72623094,2024-10-16,819049,1123,In-Bundle,836.8614149093629
413058,1017911009775218,107300000023647183,55911433,2024-01-26,819049,1123,In-Bundle,4568.484006881714
3755969,1103439171,111232230003483118,2203483118,2023-09-24,460465743,1123,In-Bundle,5775.3188829422
3392911,1101031610,114392230001076821,2201076821,2025-03-19,460467830,1123,In-Bundle,9010.24694442749
4667672,1107278635,114642230007319806,2207319806,2024-09-11,819049,1123,In-Bundle,10781.176964759827
1743958,1104522852,111440000056493387,73842162,2023-07-31,819049,1123,In-Bundle,4702.151216506958
3437916,1017911007413581,109890000057690698,2201421390,2023-08-11,819051,1123,In-Bundle,9867.635990142822
4788535,1107728178,111502230007768874,2207768874,2024-06-28,460465743,1123,In-Bundle,5258.851677894592
1482044,1017911007192367,101480000047760822,70629255,2025-02-20,819049,1123,In-Bundle,4128.728406906128
2284018,11038102769,118910000076411521,80430042,2024-11-25,819049,1123,In-Bundle,5911.814506530762
1755092,1011011021944941,115590000056653922,73924101,2025-01-18,819049,1123,In-Bundle,7811.562395095825
3713513,1103220765,116242230003264729,2203264729,2024-04-04,819051,1123,In-Bundle,15909.485264778135
2404881,1011011012903769,102510000079517074,82078365,2024-09-23,819049,1123,In-Bundle,5639.896182060242
1932094,11030352408,107050000061530734,75949577,2024-12-08,819049,1123,In-Bundle,2104.200086593628
4152429,1105245491,115702230005287882,2205287882,2023-12-26,819049,1123,In-Bundle,3187.492664337158
328146,11012258687,115950000021922427,54650279,2024-02-04,819049,1123,In-Bundle,1120.309673309326
4526621,1106715790,112022230006758101,2206758101,2024-02-02,460465743,1123,In-Bundle,0.0069456100463867
4791084,1011011002510073,105502230007775299,2207775299,2025-02-28,819053,1123,In-Bundle,8138.885549545288
2097962,11035072648,111960000069773196,77909470,2024-08-05,819049,1123,In-Bundle,4918.086947441101
2449886,1106073290,115890000081062754,82807016,2024-03-19,819051,1123,In-Bundle,4663.02898311615
812067,1017911004196839,107010000031027962,61292219,2024-04-21,819052,1123,In-Bundle,26113.078142166138
4537755,1106758432,111242230006800728,2206800728,2023-07-02,460465743,1123,In-Bundle,7201.612098693848
3364138,1100820473,116522230000823249,2200823249,2023-11-01,819049,1123,In-Bundle,5158.358780860901
3012214,1011011020050328,119410000101582509,98791101,2024-09-19,819049,1123,In-Bundle,6751.89862537384
4013927,1104664826,111762230004707879,2204707879,2024-08-07,819051,1123,In-Bundle,9872.642695426943
431370,11013093822,111750000023902923,56099593,2024-01-18,819049,1123,In-Bundle,11182.348841667175
3805603,1103655720,112702230003699206,2203699206,2024-08-24,819049,1123,In-Bundle,11423.340838432312
